tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID
2023-01-03 5:57,2023-01-03 6:31,1,0,51,145
2023-01-03 5:46,2023-01-03 6:19,1,8.4,47,146
2023-01-03 5:02,2023-01-03 5:29,1,15.7,247,228
2023-01-03 5:01,2023-01-03 5:49,1,16.8,200,65
2023-01-03 5:41,2023-01-03 6:20,1,0,51,209
2023-01-03 5:04,2023-01-03 5:25,1,4.2,136,242
2023-01-03 5:59,2023-01-03 7:18,0,10.2,159,137
2023-01-03 6:52,2023-01-03 8:11,1,8.3,136,50
2023-01-03 6:53,2023-01-03 7:50,1,15.9,51,209
2023-01-03 6:59,2023-01-03 8:09,1,1.7,168,153
2023-01-03 6:00,2023-01-03 6:27,1,15,254,134
2023-01-03 6:17,2023-01-03 7:35,2,17.24,94,37
2023-01-03 6:17,2023-01-03 7:35,2,17.24,94,37
2023-01-03 6:16,2023-01-03 7:19,1,7,167,68
2023-01-03 6:47,2023-01-03 7:23,1,7.5,254,168
2023-01-03 6:20,2023-01-03 7:18,1,16.1,94,61
2023-01-03 6:26,2023-01-03 7:09,1,0,167,97
2023-01-03 6:36,2023-01-03 7:01,1,16,213,139
2023-01-03 6:53,2023-01-03 9:03,1,10.6,254,230
2023-01-03 6:26,2023-01-03 6:52,1,11.5,213,197
2023-01-03 6:09,2023-01-03 7:01,1,12.7,213,261
2023-01-03 7:59,2023-01-03 8:24,1,0,212,121
2023-01-03 7:35,2023-01-03 8:17,1,0,136,90
2023-01-03 7:09,2023-01-03 7:44,1,0,185,140
2023-01-03 7:43,2023-01-03 7:55,1,1.34,168,42
2023-01-03 7:22,2023-01-03 7:41,1,1.7,147,248
2023-01-03 7:38,2023-01-03 8:33,1,12.9,254,129
2023-01-03 7:16,2023-01-03 7:40,1,3.2,248,174
2023-01-03 7:56,2023-01-03 8:10,1,1.1,213,248
2023-01-03 7:52,2023-01-03 7:52,1,0.6,159,167
2023-01-03 7:28,2023-01-03 7:50,1,10.2,168,254
2023-01-03 7:35,2023-01-03 8:42,1,0,32,32
2023-01-03 7:42,2023-01-03 8:32,1,15,69,258
2023-01-03 8:50,2023-01-03 9:33,1,0,51,107
2023-01-03 8:59,2023-01-03 9:48,1,8.9,235,230
2023-01-03 8:45,2023-01-03 8:58,1,2,168,41
2023-01-03 8:47,2023-01-03 9:32,1,0,78,132
2023-01-03 8:27,2023-01-03 9:14,1,16.8,254,88
2023-01-03 8:59,2023-01-03 9:21,1,0,182,75
2023-01-03 8:03,2023-01-03 8:27,1,4.35,241,119
2023-01-03 8:28,2023-01-03 9:01,3,6.65,254,220
2023-01-03 8:33,2023-01-03 9:13,1,6.6,60,146
2023-01-03 8:22,2023-01-03 8:50,1,2.8,47,244
2023-01-03 8:48,2023-01-03 9:07,1,0.8,51,81
2023-01-03 8:24,2023-01-03 8:33,1,0.5,247,235
2023-01-03 8:57,2023-01-03 9:07,1,1.9,78,248
2023-01-03 8:21,2023-01-03 8:50,1,4.2,241,247
2023-01-03 8:17,2023-01-03 8:20,1,0.59,174,174
2023-01-03 8:55,2023-01-03 9:30,1,7.3,69,170
2023-01-03 8:07,2023-01-03 8:32,1,4.5,247,213
2023-01-03 8:54,2023-01-03 9:57,1,16.5,51,209
2023-01-03 9:03,2023-01-03 9:38,1,0,51,140
2023-01-03 9:17,2023-01-03 10:46,1,14.4,254,170
2023-01-03 9:32,2023-01-03 10:27,1,9.1,81,237
2023-01-03 9:02,2023-01-03 10:02,1,8.9,254,238
2023-01-03 9:14,2023-01-03 9:50,1,0.6,51,51
2023-01-03 9:19,2023-01-03 9:35,1,3.4,254,242
2023-01-03 9:43,2023-01-03 10:05,1,1.6,182,242
2023-01-03 9:15,2023-01-03 10:02,1,5.8,208,247
2023-01-03 9:18,2023-01-03 9:43,1,5.7,213,42
2023-01-03 10:29,2023-01-03 10:30,1,0,168,168
2023-01-03 10:31,2023-01-03 10:31,2,0,168,168
2023-01-03 10:31,2023-01-03 10:33,1,0,168,168
2023-01-03 10:00,2023-01-03 10:07,1,0.4,220,220
2023-01-03 10:29,2023-01-03 11:16,1,15.6,32,65
2023-01-03 10:35,2023-01-03 11:23,1,4.3,3,242
2023-01-03 10:04,2023-01-03 10:40,1,9.3,69,170
2023-01-03 10:21,2023-01-03 11:01,1,4.9,242,243
2023-01-03 10:08,2023-01-03 10:51,1,12.78,167,45
2023-01-03 10:26,2023-01-03 10:38,1,0.4,242,242
2023-01-03 10:58,2023-01-03 11:16,1,3.6,78,208
2023-01-03 10:02,2023-01-03 10:35,1,5.8,81,247
2023-01-03 10:45,2023-01-03 10:58,1,3.1,241,247
2023-01-03 11:48,2023-01-03 11:49,1,0,168,168
2023-01-03 11:49,2023-01-03 11:49,1,0,168,168
2023-01-03 11:24,2023-01-03 11:59,1,9,213,170
2023-01-03 11:07,2023-01-03 11:20,2,1.5,174,81
2023-01-03 11:32,2023-01-03 11:53,2,2.1,3,174
2023-01-03 11:08,2023-01-03 11:18,1,1.24,220,136
2023-01-03 11:35,2023-01-03 12:27,1,7.8,126,259
2023-01-03 11:20,2023-01-03 11:49,1,7.5,247,246
2023-01-03 11:31,2023-01-03 12:21,1,5.5,69,254
2023-01-03 11:07,2023-01-03 11:17,1,4.8,213,3
2023-01-03 11:19,2023-01-03 11:47,1,5.4,247,239
2023-01-03 11:31,2023-01-03 11:51,1,2.1,242,185
2023-01-03 11:56,2023-01-03 12:16,1,1.8,185,254
2023-01-03 11:39,2023-01-03 12:10,1,3,51,254
2023-01-03 11:30,2023-01-03 12:31,1,24,213,99
2023-01-03 12:55,2023-01-03 13:38,2,27.05,168,1
2023-01-03 12:50,2023-01-03 13:10,1,3.3,126,247
2023-01-03 12:35,2023-01-03 13:41,1,0,78,210
2023-01-03 12:20,2023-01-03 13:21,1,0,69,177
2023-01-03 12:38,2023-01-03 13:04,1,4.1,169,213
2023-01-03 12:06,2023-01-03 13:55,1,9.3,51,140
2023-01-03 12:26,2023-01-03 12:41,1,0.9,32,3
2023-01-03 12:59,2023-01-03 13:21,1,0,168,241
2023-01-03 13:39,2023-01-03 14:02,1,2.85,69,244
2023-01-03 13:20,2023-01-03 13:55,1,2.5,167,244
2023-01-03 13:11,2023-01-03 13:12,1,0,247,247
2023-01-03 13:11,2023-01-03 13:12,1,0,247,247
2023-01-03 13:17,2023-01-03 14:02,1,19,235,39
2023-01-03 13:02,2023-01-03 13:59,1,0,168,10
2023-01-03 13:46,2023-01-03 14:40,1,0,248,68
2023-01-03 13:54,2023-01-03 13:54,1,0,69,69
2023-01-03 13:17,2023-01-03 13:43,1,4.7,126,242
2023-01-03 13:05,2023-01-03 13:25,1,0.4,119,119
2023-01-03 13:39,2023-01-03 13:39,1,0,254,264
2023-01-03 13:21,2023-01-03 13:36,1,2.9,242,32
2023-01-03 13:01,2023-01-03 14:00,1,4.1,81,47
2023-01-03 13:02,2023-01-03 13:24,1,6.2,159,220
2023-01-03 13:07,2023-01-03 13:22,1,3.74,242,254
2023-01-03 14:06,2023-01-03 14:52,1,15.7,147,76
2023-01-03 14:59,2023-01-03 15:05,2,0.7,250,250
2023-01-03 14:45,2023-01-03 16:14,1,17.2,168,150
2023-01-03 14:33,2023-01-03 14:58,1,4.1,159,140
2023-01-03 14:06,2023-01-03 14:25,1,3.9,47,250
2023-01-03 14:41,2023-01-03 14:54,1,3.2,242,254
2023-01-03 15:38,2023-01-03 15:59,1,2.1,51,265
2023-01-03 15:47,2023-01-03 16:33,1,4.7,168,242
2023-01-03 15:09,2023-01-03 16:38,1,0,136,155
2023-01-03 15:38,2023-01-03 16:11,1,6.4,168,174
2023-01-03 15:44,2023-01-03 16:19,1,8,254,119
2023-01-03 15:33,2023-01-03 16:06,1,0,241,168
2023-01-03 15:35,2023-01-03 15:45,1,2.22,159,74
2023-01-03 16:25,2023-01-03 16:32,1,0.6,208,183
2023-01-03 16:39,2023-01-03 17:02,3,2.1,247,235
2023-01-03 16:07,2023-01-03 16:55,1,11.4,247,134
2023-01-03 16:14,2023-01-03 16:45,1,0,168,243
2023-01-03 16:56,2023-01-03 17:47,1,0,168,185
2023-01-03 17:23,2023-01-03 17:36,1,2,220,200
2023-01-03 17:59,2023-01-03 18:11,1,1,47,167
2023-01-03 17:19,2023-01-03 17:19,2,0,32,32
2023-01-03 17:53,2023-01-03 18:15,1,5.31,220,243
2023-01-03 17:18,2023-01-03 17:28,1,1.28,168,42
2023-01-03 17:29,2023-01-03 17:50,1,0,78,168
2023-01-03 17:51,2023-01-03 18:35,1,0,168,132
2023-01-03 17:43,2023-01-03 18:22,1,6.1,159,82
2023-01-03 17:16,2023-01-03 17:20,1,0.31,136,136
2023-01-03 18:38,2023-01-03 19:13,1,1.5,20,169
2023-01-03 18:59,2023-01-03 19:23,1,0,212,41
2023-01-03 18:25,2023-01-03 18:49,1,1.3,32,182
2023-01-03 18:51,2023-01-03 19:02,1,1.3,182,32
2023-01-03 18:07,2023-01-03 18:07,1,0,242,242
2023-01-03 18:07,2023-01-03 18:07,1,0,242,242
2023-01-03 18:04,2023-01-03 19:06,1,8.7,69,51
2023-01-03 19:20,2023-01-03 23:25,1,23.2,167,5
2023-01-03 19:14,2023-01-03 19:22,1,2.36,168,247
2023-01-03 19:03,2023-01-03 19:33,1,5.7,32,42
2023-01-03 21:36,2023-01-03 22:00,1,0,247,162
2023-01-03 22:37,2023-01-03 22:53,1,0,159,213
2023-01-03 22:43,2023-01-03 22:43,1,0,242,242
2023-01-03 22:34,2023-01-03 22:53,1,1.8,174,185
2023-01-04 0:19,2023-01-04 0:42,1,0,247,68
2023-01-04 0:30,2023-01-04 1:16,1,0,247,55
2023-01-04 0:08,2023-01-04 0:08,1,0,254,254
2023-01-04 1:06,2023-01-04 1:06,1,0,259,259
2023-01-04 1:30,2023-01-04 1:31,1,0,168,168
2023-01-04 1:56,2023-01-04 2:00,1,0,32,264
2023-01-04 3:23,2023-01-04 3:24,1,0,185,185
2023-01-04 4:57,2023-01-04 5:31,1,15.3,18,87
2023-01-04 4:44,2023-01-04 5:04,1,4.4,247,220
2023-01-04 5:08,2023-01-04 5:33,1,0,259,140
2023-01-04 5:27,2023-01-04 5:55,1,17.5,51,88
2023-01-04 5:27,2023-01-04 5:56,1,0,242,197
2023-01-04 5:30,2023-01-04 5:58,1,14.1,254,134
2023-01-04 5:12,2023-01-04 5:23,1,0,250,242
2023-01-04 5:03,2023-01-04 5:28,1,0,182,236
2023-01-04 5:43,2023-01-04 5:55,1,1,32,81
2023-01-04 5:20,2023-01-04 5:29,1,2.36,18,136
2023-01-04 5:19,2023-01-04 5:31,1,1.8,78,69
2023-01-04 5:52,2023-01-04 6:00,1,0.6,254,254
2023-01-04 5:59,2023-01-04 6:23,1,7.5,159,137
2023-01-04 5:30,2023-01-04 6:21,1,19.5,51,209
2023-01-04 6:45,2023-01-04 7:35,1,0,18,87
2023-01-04 6:57,2023-01-04 7:21,1,4.4,51,78
2023-01-04 6:45,2023-01-04 7:00,1,3.36,213,208
2023-01-04 6:42,2023-01-04 8:13,1,15.2,3,261
2023-01-04 6:21,2023-01-04 6:31,1,2.3,235,136
2023-01-04 6:56,2023-01-04 7:35,1,3,69,136
2023-01-04 6:23,2023-01-04 7:17,1,8.7,51,69
2023-01-04 6:46,2023-01-04 7:23,1,3.7,182,159
2023-01-04 6:12,2023-01-04 6:51,1,14,183,87
2023-01-04 6:49,2023-01-04 7:44,1,6,159,174
2023-01-04 6:44,2023-01-04 7:19,1,7.5,254,168
2023-01-04 6:26,2023-01-04 7:17,1,16.7,51,88
2023-01-04 6:51,2023-01-04 7:32,1,0,200,100
2023-01-04 6:09,2023-01-04 6:18,1,1.95,168,168
2023-01-04 6:28,2023-01-04 6:52,1,10.3,213,134
2023-01-04 7:21,2023-01-04 8:12,1,14.5,240,217
2023-01-04 7:12,2023-01-04 7:20,3,1.15,247,244
2023-01-04 7:19,2023-01-04 7:32,1,0.9,212,213
2023-01-04 7:51,2023-01-04 8:12,1,5.3,78,42
2023-01-04 7:29,2023-01-04 7:38,1,1.1,248,78
2023-01-04 7:40,2023-01-04 8:22,1,0,136,90
2023-01-04 7:36,2023-01-04 7:53,1,2.51,247,74
2023-01-04 7:52,2023-01-04 8:27,1,3,213,69
2023-01-04 7:41,2023-01-04 8:13,1,8.1,167,81
2023-01-04 7:01,2023-01-04 7:37,1,6,94,51
2023-01-04 7:19,2023-01-04 7:27,1,0.6,242,185
2023-01-04 7:43,2023-01-04 8:34,1,5.2,81,78
2023-01-04 7:13,2023-01-04 7:31,1,2.2,247,20
2023-01-04 7:48,2023-01-04 8:00,1,2,174,254
2023-01-04 7:28,2023-01-04 7:50,1,8.1,168,254
2023-01-04 7:11,2023-01-04 7:12,1,0.35,78,47
2023-01-04 7:01,2023-01-04 7:17,1,6.8,247,174
2023-01-04 7:56,2023-01-04 8:48,1,7.2,168,186
2023-01-04 8:46,2023-01-04 9:17,1,0,182,75
2023-01-04 8:36,2023-01-04 9:35,1,10.7,220,233
2023-01-04 8:43,2023-01-04 8:51,1,1,242,250
2023-01-04 8:42,2023-01-04 9:18,1,5.1,168,143
2023-01-04 8:50,2023-01-04 9:36,1,0,213,263
2023-01-04 8:36,2023-01-04 8:36,1,0,20,20
2023-01-04 8:56,2023-01-04 9:25,1,0,69,50
2023-01-04 8:05,2023-01-04 8:42,1,2.9,167,94
2023-01-04 8:52,2023-01-04 9:35,1,3.3,167,166
2023-01-04 8:51,2023-01-04 9:10,1,1.7,242,242
2023-01-04 8:18,2023-01-04 9:35,1,4,254,246
2023-01-04 8:46,2023-01-04 9:30,1,10.5,182,48
2023-01-04 8:13,2023-01-04 9:08,1,11,18,233
2023-01-04 8:06,2023-01-04 8:28,1,5.3,247,213
2023-01-04 8:52,2023-01-04 9:10,1,4.4,213,18
2023-01-04 9:05,2023-01-04 9:25,1,4.99,235,74
2023-01-04 9:14,2023-01-04 9:37,1,1.1,51,3
2023-01-04 9:45,2023-01-04 10:02,1,3.8,212,169
2023-01-04 9:16,2023-01-04 9:30,1,5,220,31
2023-01-04 9:35,2023-01-04 9:41,1,6.46,51,265
