time,passenger_count,trip_distance,trip_duration,PULocationID,DOLocationID,demand_count
2023-01-08 19:00:00,1.0,1.7,17.0,167.0,119.0,5.0
2023-01-08 20:00:00,1.0,1.7,17.0,51.0,42.0,5.0
2023-01-08 21:00:00,1.0,20.62,39.0,147.0,76.0,1.0
2023-01-08 22:00:00,1.0,4.95,16.0,168.0,136.0,1.0
2023-01-08 23:00:00,3.0,2.19,9.0,69.0,169.0,1.0
2023-01-09 00:00:00,1.0,3.61,23.0,20.0,90.0,3.0
2023-01-09 01:00:00,1.0,3.61,23.0,51.0,42.0,3.0
2023-01-09 02:00:00,1.0,1.05,8.0,247.0,20.0,4.0
2023-01-09 03:00:00,1.0,1.05,8.0,51.0,42.0,4.0
2023-01-09 04:00:00,1.0,1.05,8.0,51.0,42.0,4.0
2023-01-09 05:00:00,1.0,12.6,44.0,254.0,4.0,5.0
2023-01-09 06:00:00,1.0,10.1,39.0,18.0,45.0,11.0
2023-01-09 07:00:00,1.0,5.6,52.0,242.0,14.0,7.0
2023-01-09 08:00:00,1.0,7.0,29.0,247.0,242.0,9.0
2023-01-09 09:00:00,1.0,6.8,36.0,247.0,42.0,9.0
2023-01-09 10:00:00,1.0,4.15,20.0,235.0,18.0,10.0
2023-01-09 11:00:00,1.0,5.0,29.0,213.0,41.0,9.0
2023-01-09 12:00:00,1.0,9.8,35.0,18.0,48.0,5.0
2023-01-09 13:00:00,1.0,5.07,19.0,69.0,74.0,7.0
2023-01-09 14:00:00,1.0,6.3,47.5,94.0,48.0,4.0
2023-01-09 15:00:00,1.0,6.0,35.0,3.0,119.0,3.0
2023-01-09 16:00:00,1.0,5.0,32.0,168.0,51.0,4.0
2023-01-09 17:00:00,1.0,5.0,32.0,51.0,42.0,4.0
2023-01-09 18:00:00,1.0,4.8,15.0,247.0,18.0,3.0
2023-01-09 19:00:00,1.0,1.61,9.0,69.0,42.0,1.0
2023-01-09 20:00:00,1.0,13.4,16.0,213.0,132.0,1.0
2023-01-09 21:00:00,1.0,13.4,16.0,51.0,42.0,1.0
2023-01-09 22:00:00,1.0,13.4,16.0,51.0,42.0,1.0
2023-01-09 23:00:00,1.0,13.4,16.0,51.0,42.0,1.0
2023-01-10 00:00:00,1.0,10.2,29.0,247.0,90.0,1.0
2023-01-10 01:00:00,1.0,0.485,3.5,136.0,94.0,2.0
2023-01-10 02:00:00,1.0,0.485,3.5,51.0,42.0,2.0
2023-01-10 03:00:00,1.0,0.485,3.5,51.0,42.0,2.0
2023-01-10 04:00:00,1.0,0.485,3.5,51.0,42.0,2.0
2023-01-10 05:00:00,1.0,14.95,39.0,18.0,25.0,6.0
2023-01-10 06:00:00,1.0,13.0,44.0,51.0,197.0,12.0
2023-01-10 07:00:00,1.0,5.9,43.0,51.0,168.0,9.0
2023-01-10 08:00:00,1.0,11.8,38.0,78.0,140.0,9.0
2023-01-10 09:00:00,1.0,4.125,39.0,174.0,24.0,12.0
2023-01-10 10:00:00,1.0,5.5,42.0,78.0,51.0,11.0
2023-01-10 11:00:00,1.0,3.7,27.0,3.0,3.0,7.0
2023-01-10 12:00:00,1.0,4.0,21.5,242.0,94.0,10.0
2023-01-10 13:00:00,1.0,5.5,45.0,235.0,39.0,13.0
2023-01-10 14:00:00,1.0,3.1,29.0,51.0,159.0,5.0
2023-01-10 15:00:00,1.0,2.76,19.0,169.0,51.0,2.0
2023-01-10 16:00:00,1.0,6.8,37.0,168.0,4.0,7.0
2023-01-10 17:00:00,1.0,6.8,37.0,51.0,42.0,7.0
2023-01-10 18:00:00,2.0,5.72,22.0,119.0,42.0,5.0
2023-01-10 19:00:00,1.0,1.72,12.0,18.0,18.0,3.0
2023-01-10 20:00:00,1.0,3.75,29.5,18.0,42.0,4.0
2023-01-10 21:00:00,1.0,0.115,10.5,32.0,42.0,2.0
2023-01-10 22:00:00,1.0,0.115,10.5,51.0,42.0,2.0
2023-01-10 23:00:00,1.0,0.64,5.0,159.0,168.0,1.0
2023-01-11 00:00:00,1.0,20.08,33.0,254.0,63.0,1.0
2023-01-11 01:00:00,1.0,20.08,33.0,51.0,42.0,1.0
2023-01-11 02:00:00,1.0,20.08,33.0,51.0,42.0,1.0
2023-01-11 03:00:00,1.0,20.08,33.0,51.0,42.0,1.0
2023-01-11 04:00:00,1.0,6.4,24.0,159.0,74.0,2.0
2023-01-11 05:00:00,1.0,14.299999999999999,27.5,213.0,29.0,10.0
2023-01-11 06:00:00,1.0,11.2,28.0,213.0,67.0,6.0
2023-01-11 07:00:00,1.0,7.35,46.0,18.0,33.0,10.0
2023-01-11 08:00:00,1.0,5.3,21.0,81.0,69.0,7.0
2023-01-11 09:00:00,1.0,7.6499999999999995,35.5,259.0,137.0,6.0
2023-01-11 10:00:00,1.0,7.73,45.5,18.0,247.0,10.0
2023-01-11 11:00:00,1.0,4.55,23.0,51.0,242.0,6.0
2023-01-11 12:00:00,1.0,2.1950000000000003,20.0,94.0,75.0,10.0
2023-01-11 13:00:00,1.0,16.3,57.0,20.0,3.0,6.0
2023-01-11 14:00:00,1.0,3.95,31.0,47.0,235.0,10.0
2023-01-11 15:00:00,1.0,2.0,18.0,242.0,185.0,5.0
2023-01-11 16:00:00,1.0,2.8,15.0,167.0,75.0,3.0
2023-01-11 17:00:00,1.0,4.6,32.0,69.0,32.0,7.0
2023-01-11 18:00:00,1.0,4.6,32.0,51.0,42.0,7.0
2023-01-11 19:00:00,1.0,6.4,29.0,169.0,148.0,3.0
2023-01-11 20:00:00,1.0,8.0,27.0,159.0,10.0,3.0
2023-01-11 21:00:00,1.0,8.0,27.0,51.0,42.0,3.0
2023-01-11 22:00:00,1.0,6.85,21.0,254.0,20.0,4.0
2023-01-11 23:00:00,1.0,16.4,34.0,247.0,225.0,1.0
2023-01-12 00:00:00,1.0,1.53,7.0,168.0,74.0,1.0
